BarnName,Index,DHIID,RFID,AgeMons_Ref,HfrMerit$,DateDue,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$,SireMerit$
7255 ,7255,000000000,,23,+116,5-04,7HO6168,,5297,,,,,+232
7257 ,7257,000000000,,23,+116,2-13,7HO6168,,5297,,,,,+232
7260 ,7260,000000000,,23,+116,2-14,7HO6168,,5297,,,,,+232
7287 ,7287,47VCP2358,,22,+116,8-29,7HO6168,,5342,,,,,+232
7466 ,7466,47VCP2671,,20,+116,8-04,7HO6168,,3631,,,,,+232
8299 ,8299,000000000,,9,+116,,HB,29HO10124,6588,+574,+2,+19,+231,
8345 ,8345,47VEB6839,,8,+116,,751HO9208,1HO9336,6657,-723,-34,-16,-181,+413
8550 ,8550,000000000,,5,+116,,HB,14HO3801,6628,+745,-10,+22,+232,
7159 ,7159,47VCP2243,,24,+115,2-02,1HO6939,1HO6360,5182,-1132,-35,-29,-17,+247
7818 ,7818,47VEB6032,,15,+115,,507HO7466,1HO8974,6314,-522,-2,-13,-17,+247
8064 ,8064,47VEB6459,,12,+115,,HB,507HO6838,6269,+1111,+39,+25,+230,
7180 ,7180,000000000,,24,+114,2-15,7HO6838,,5058,,,,,+227
7229 ,7229,47VCP2238,,23,+114,3-07,507HO6838,,5840,,,,,+227
7232 ,7232,000000000,,23,+114,2-19,507HO6838,203HO486,5961,,,,,+227
7346 ,7346,000000000,,22,+114,6-03,507HO6838,1HO7235,6011,,,,,+227
7410 ,7410,47VCP2440,,21,+114,4-27,1HO9662,,4503,,,,,+227
7432 ,7432,47VCP2425,,21,+114,5-14,507HO6838,,6001,,,,,+227
7463 ,7463,47VCP2672,,20,+114,,501HO8903,1HO6721,5995,-561,-23,-13,+48,+179
7747 ,7747,000000000,,16,+114,9-22,7HO6838,,2517,,,,,+227
7783 ,7783,000000000,,16,+114,9-29,7HO6838,,2533,,,,,+227
7418 ,7418,47VCP2651,,21,+113,6-08,501HO6838,1HO7235,5994,+583,+35,+17,+226,
7434 ,7434,47VCP2588,,21,+113,5-10,501HO7094,11HO7318,6010,+5,+49,+3,-18,+243
8516 ,8516,47VFF1167,,5,+112,,1HO9954,,5445,,,,,+224
7056 ,7056,47VCP2018,,25,+111,2-17,1HO2406,,4375,,,,,+222
7200 ,7200,47VCP2251,,24,+111,2-19,1HO9484,7HO4152,2143,-36,+14,+1,+91,+130
7133 ,7133,47VCP2232,,24,+109,2-24,1HO9626,11HO5929,2738,-860,-5,-22,-59,+277
7231 ,7231,000000000,,23,+109,2-24,1HO6776,,1951,,,,,+218
8187 ,8187,47VEB6581,,10,+109,,1HO6776,,5406,,,,,+218
8392 ,8392,47VEB6830,,7,+109,,1HO6776,,4412,,,,,+218
8743 ,8743,000000000,,2,+109,,1HO6776,,4449,,,,,+218
8821 ,8821,000000000,,,+109,,1HO9994,14HO3751,5650,-997,-32,-24,-155,+372
8419 ,8419,47VFF1013,,7,+108,,1HO9954,1HO2406,5852,+355,-4,+9,-8,+224
8709 ,8709,000000000,,2,+108,,1HO6776,9HO2575,5103,-464,-52,-16,-2,+218
7037 ,7037,47VCP2020,,25,+107,2-06,1HO7690,,2524,,,,,+214
7263 ,7263,000000000,,23,+107,3-16,7HO7839,,5391,,,,,+213
7317 ,7317,000000000,,22,+107,,7HO7839,,5384,,,,,+213
7720 ,7720,000000000,,17,+107,9-15,1HO7690,,2826,,,,,+214
7781 ,7781,000000000,,16,+107,10-05,1HO7690,,4355,,,,,+214
7992 ,7992,47VEB6335,,13,+107,,HB,29HO11111,6221,+683,+38,+23,+213,
8239 ,8239,000000000,,9,+107,,1HO9915,11HO7319,5814,-360,-33,-13,-77,+291
7116 ,7116,47VCP2057,,25,+106,2-24,14HO3801,,2594,,,,,+211
7171 ,7171,47VCP2193,,24,+106,3-07,14HO3801,,4431,,,,,+211
7338 ,7338,000000000,,22,+106,7-01,14HO3801,,4285,,,,,+211
7340 ,7340,000000000,,22,+106,4-21,14HO3801,,4550,,,,,+211
8219 ,8219,000000000,,10,+106,,1HO7352,203HO486,5954,,,,,+211
8284 ,8284,000000000,,9,+106,,1HO2609,11HO6715,4453,-33,-10,+1,-122,+333
8065 ,8065,47VEB6525,,12,+105,,1HO7794,29HO9429,2069,-140,-17,-12,-112,+322
8471 ,8471,47VFF1030,,6,+105,,HB,1HO7127,6755,+943,+34,+33,+209,
7859 ,7859,47VEB6037,,15,+104,,1HO9309,7JE329,5746,+727,-12,+10,-43,+250
7364 ,7364,47VCP2590,,22,+103,5-10,501HO8903,11HO7318,5990,+811,+31,+20,+27,+179
7368 ,7368,47VCP2432,,22,+103,3-27,507HO6838,1HO7235,5935,-196,-7,-2,-21,+227
8029 ,8029,47VEB6413,,12,+103,,501HO8704,7HO6838,6420,+1394,+28,+35,+206,
8223 ,8223,000000000,,10,+102,,507HO7466,1HO9164,6552,-475,-22,-8,-43,+247
8736 ,8736,000000000,,2,+101,,1HO9299,,5687,,,,,+202
7210 ,7210,47VCP2215,,23,+100,3-04,1HO6943,,5263,,,,,+200
7245 ,7245,000000000,,23,+100,4-16,1HO6943,UNKNOWN,2860,,,,,+200
7437 ,7437,47VCP2594,,21,+100,6-01,1HO6943,,4287,,,,,+200
8523G ,8523,47VFF1148,,5,+100,,HB,29HO10493,6764,-307,+28,+5,+200,
7256 ,7256,000000000,,23,+99,4-21,7HO6695,,5232,,,,,+197
7258 ,7258,000000000,,23,+99,3-01,7HO6695,,5232,,,,,+197
7259 ,7259,000000000,,23,+99,3-01,7HO6695,,5232,,,,,+197
7987 ,7987,47VEB6399,,13,+99,,HB,7HO56905,6230,+968,+49,+24,+198,
